Stazione di Calopinace - Piogge giornaliere - Anno 2023,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GIORNO,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic
1 ,- ,- ,- ,- ,- ,15.0 ,- ,- ,- ,- ,0.8 ,- 
2 ,- ,- ,- ,10.0 ,5.8 ,- ,5.4 ,- ,- ,- ,0.4 ,- 
3 ,- ,- ,16.0 ,86.6 ,8.2 ,- ,0.2 ,- ,- ,- ,1.4 ,- 
4 ,- ,- ,7.2 ,0.8 ,- ,- ,- ,- ,- ,- ,13.4 ,0.2 
5 ,- ,- ,21.2 ,5.2 ,- ,0.6 ,- ,3.6 ,3.2 ,- ,- ,3.4 
6 ,- ,- ,2.4 ,22.0 ,- ,- ,- ,11.0 ,1.0 ,- ,- ,6.4 
7 ,1.8 ,- ,1.4 ,- ,- ,- ,- ,- ,11.4 ,- ,- ,14.2 
8 ,3.2 ,- ,- ,- ,2.2 ,- ,- ,- ,1.6 ,4.6 ,1.0 ,- 
9 ,3.8 ,- ,- ,8.4 ,1.6 ,- ,- ,- ,- ,- ,- ,- 
10 ,17.0 ,- ,- ,4.2 ,2.8 ,- ,- ,- ,- ,- ,2.6 ,4.2 
11 ,- ,- ,0.4 ,- ,- ,0.2 ,- ,- ,- ,- ,12.6 ,- 
12 ,4.8 ,16.6 ,9.4 ,- ,- ,16.6 ,- ,- ,- ,- ,9.2 ,- 
13 ,0.2 ,1.2 ,- ,0.8 ,4.0 ,- ,- ,- ,- ,- ,2.2 ,- 
14 ,0.4 ,- ,- ,2.0 ,0.4 ,- ,- ,- ,- ,- ,- ,4.2 
15 ,- ,- ,12.0 ,0.4 ,13.0 ,- ,- ,- ,- ,- ,- ,8.6 
16 ,2.2 ,- ,- ,5.8 ,13.6 ,3.4 ,- ,- ,- ,- ,- ,- 
17 ,- ,- ,- ,27.4 ,- ,- ,- ,- ,- ,- ,0.2 ,- 
18 ,- ,- ,- ,16.4 ,- ,- ,- ,- ,- ,- ,0.4 ,- 
19 ,1.8 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
20 ,8.8 ,- ,1.2 ,- ,13.6 ,- ,- ,- ,- ,- ,- ,- 
21 ,2.2 ,- ,2.4 ,- ,0.8 ,- ,- ,- ,- ,0.4 ,- ,2.4 
22 ,21.4 ,- ,- ,- ,2.6 ,- ,- ,- ,- ,- ,18.2 ,2.0 
23 ,- ,- ,- ,- ,1.4 ,- ,- ,0.2 ,6.4 ,- ,10.6 ,5.4 
24 ,- ,- ,- ,- ,- ,- ,- ,- ,5.8 ,- ,- ,- 
25 ,2.0 ,- ,- ,- ,- ,16.8 ,- ,- ,2.0 ,- ,15.0 ,- 
26 ,5.0 ,2.0 ,- ,- ,- ,9.2 ,- ,- ,7.2 ,3.2 ,1.2 ,- 
27 ,5.2 ,4.4 ,1.2 ,- ,- ,- ,- ,- ,0.2 ,- ,- ,- 
28 ,2.2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
29 ,- ,,- ,- ,- ,- ,- ,- ,- ,- ,1.6 ,- 
30 ,0.4 ,,- ,9.4 ,0.2 ,- ,- ,- ,- ,- ,- ,- 
31 ,7.4 ,,- ,,12.2 ,,- ,- ,,0.6 ,,- 
TOT,89.8 ,24.2 ,74.8 ,199.4 ,82.4 ,61.8 ,5.6 ,14.8 ,38.8 ,8.8 ,90.8 ,51.0 
- pioggia nulla,,,,,,,,,,,,
» : dati mancanti,,,,,,,,,,,,
