Stazione di Calopinace - Piogge giornaliere - Anno 2015,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GIORNO,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic
1 ,- ,3.0 ,- ,2.6 ,- ,- ,- ,- ,- ,- ,133.4 ,- 
2 ,- ,9.8 ,- ,0.2 ,- ,- ,- ,- ,- ,3.4 ,14.6 ,- 
3 ,0.2 ,2.6 ,- ,- ,- ,- ,- ,- ,- ,- ,0.2 ,- 
4 ,5.6 ,- ,- ,- ,- ,- ,- ,7.0 ,- ,- ,- ,- 
5 ,16.2 ,6.4 ,4.8 ,- ,- ,0.8 ,- ,- ,- ,- ,- ,- 
6 ,0.8 ,- ,7.6 ,15.0 ,- ,0.4 ,- ,- ,- ,- ,0.8 ,- 
7 ,- ,- ,5.4 ,5.2 ,- ,0.4 ,- ,1.4 ,- ,- ,- ,- 
8 ,7.4 ,14.0 ,5.6 ,8.8 ,- ,- ,- ,16.6 ,2.2 ,- ,- ,- 
9 ,2.4 ,17.0 ,2.0 ,0.2 ,- ,- ,- ,- ,77.2 ,0.6 ,- ,- 
10 ,- ,1.4 ,0.2 ,- ,1.2 ,- ,- ,- ,20.6 ,27.2 ,- ,13.4 
11 ,- ,- ,7.0 ,- ,- ,- ,- ,66.2 ,- ,14.6 ,- ,1.4 
12 ,0.6 ,- ,24.2 ,- ,- ,- ,- ,2.4 ,- ,- ,- ,- 
13 ,- ,- ,3.8 ,- ,- ,- ,- ,0.2 ,- ,- ,- ,- 
14 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.2 ,- 
15 ,- ,0.8 ,- ,- ,- ,- ,- ,- ,- ,13.8 ,0.8 ,- 
16 ,- ,0.6 ,- ,- ,- ,- ,- ,0.4 ,- ,- ,- ,1.0 
17 ,- ,12.8 ,20.0 ,- ,1.8 ,3.8 ,- ,- ,- ,- ,- ,- 
18 ,2.0 ,- ,0.4 ,- ,0.2 ,6.4 ,- ,- ,- ,- ,- ,- 
19 ,- ,- ,- ,- ,1.0 ,- ,- ,- ,- ,- ,- ,- 
20 ,0.2 ,- ,- ,- ,- ,- ,- ,- ,» ,10.6 ,- ,14.2 
21 ,1.4 ,11.8 ,- ,- ,0.8 ,0.4 ,- ,- ,» ,3.6 ,- ,- 
22 ,22.0 ,72.0 ,- ,- ,3.6 ,0.6 ,- ,2.6 ,- ,24.0 ,1.2 ,- 
23 ,1.4 ,12.2 ,- ,- ,- ,- ,- ,- ,- ,7.6 ,2.2 ,- 
24 ,4.6 ,18.4 ,5.8 ,- ,- ,- ,8.0 ,- ,- ,- ,15.2 ,- 
25 ,2.8 ,3.8 ,21.2 ,- ,- ,- ,- ,- ,0.8 ,- ,72.2 ,- 
26 ,9.2 ,6.2 ,0.6 ,- ,1.4 ,3.8 ,- ,- ,- ,- ,0.4 ,- 
27 ,13.6 ,12.0 ,59.4 ,- ,13.6 ,- ,- ,8.2 ,8.8 ,- ,13.4 ,- 
28 ,24.6 ,6.8 ,22.4 ,- ,19.6 ,- ,- ,- ,4.8 ,- ,16.4 ,- 
29 ,6.4 ,,1.0 ,2.2 ,- ,- ,- ,- ,1.0 ,2.6 ,7.4 ,- 
30 ,6.4 ,,- ,- ,- ,- ,- ,- ,- ,9.0 ,1.6 ,- 
31 ,8.8 ,,- ,,- ,,- ,- ,,46.0 ,,- 
TOT,136.6 ,211.6 ,191.4 ,34.2 ,43.2 ,16.6 ,8.0 ,105.0 ,» ,163.0 ,280.0 ,30.0
- pioggia nulla,,,,,,,,,,,,
» : dati mancanti,,,,,,,,,,,,
