Stazione di Calopinace - Piogge giornaliere - Anno 2017,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GIORNO,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic
1 ,cumul. ,- ,0.8 ,- ,- ,- ,- ,- ,- ,- ,0.8 ,18.2 
2 ,5.0* ,- ,- ,22.4 ,- ,- ,- ,- ,- ,0.4 ,- ,0.8 
3 ,- ,- ,- ,2.2 ,- ,- ,- ,- ,0.4 ,- ,- ,- 
4 ,11.0 ,- ,- ,8.8 ,- ,- ,- ,- ,- ,0.2 ,- ,7.4 
5 ,19.4 ,- ,0.4 ,0.2 ,- ,- ,- ,- ,- ,- ,- ,1.0 
6 ,4.4* ,2.4 ,- ,- ,- ,2.4 ,- ,- ,- ,8.0 ,41.8 ,- 
7 ,cumul. ,- ,14.6 ,- ,- ,- ,- ,- ,- ,6.0 ,3.6 ,- 
8 ,6.0* ,- ,44.0 ,- ,- ,- ,- ,- ,5.0 ,- ,3.2 ,- 
9 ,4.0* ,25.8 ,- ,- ,- ,- ,- ,- ,0.2 ,- ,0.2 ,10.0 
10 ,1.6 ,1.2 ,0.2 ,- ,- ,- ,- ,- ,- ,- ,0.8 ,1.6 
11 ,5.6 ,0.2 ,- ,- ,0.2 ,- ,- ,- ,49.2 ,2.4 ,25.4 ,- 
12 ,- ,0.2 ,- ,- ,- ,- ,- ,- ,0.2 ,- ,- ,- 
13 ,0.6 ,- ,- ,- ,- ,- ,- ,0.2 ,- ,- ,1.4 ,4.4 
14 ,13.0 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1.6 ,0.2 
15 ,- ,- ,5.4 ,- ,- ,- ,- ,- ,- ,- ,5.2 ,- 
16 ,0.6 ,- ,0.2 ,0.8 ,6.6 ,- ,11.8 ,- ,- ,- ,3.8 ,9.4 
17 ,5.2 ,- ,- ,0.4 ,- ,- ,- ,- ,- ,- ,6.6 ,9.2 
18 ,- ,- ,- ,- ,- ,2.4 ,- ,- ,- ,- ,6.6 ,11.4 
19 ,- ,- ,- ,- ,- ,- ,- ,- ,5.6 ,- ,21.4 ,- 
20 ,- ,- ,- ,- ,- ,- ,- ,- ,3.2 ,- ,3.0 ,- 
21 ,- ,6.4 ,- ,0.6 ,4.6 ,- ,- ,- ,2.2 ,- ,- ,- 
22 ,2.2 ,- ,- ,1.8 ,0.4 ,- ,- ,5.8 ,- ,- ,- ,- 
23 ,66.4 ,- ,- ,- ,- ,- ,- ,- ,- ,14.4 ,- ,- 
24 ,0.8 ,- ,- ,- ,- ,- ,- ,- ,3.6 ,10.2 ,- ,- 
25 ,2.8 ,- ,- ,- ,- ,- ,- ,- ,0.8 ,1.6 ,- ,- 
26 ,0.2 ,8.8 ,- ,- ,- ,- ,5.2 ,- ,2.0 ,- ,9.4 ,- 
27 ,- ,0.2 ,2.8 ,- ,- ,- ,1.0 ,- ,4.6 ,- ,18.2 ,1.2 
28 ,0.6 ,- ,10.8 ,- ,- ,- ,- ,- ,- ,- ,0.2 ,3.8 
29 ,10.8 ,,15.4 ,- ,- ,- ,- ,- ,2.0 ,0.6 ,- ,9.4 
30 ,1.8 ,,0.2 ,- ,- ,- ,- ,- ,7.0 ,4.4 ,0.6 ,37.6 
31 ,- ,,- ,,- ,,- ,- ,,- ,,0.8 
TOT,162.0 ,45.2 ,94.8 ,37.2 ,11.8 ,4.8 ,18.0 ,6.0 ,86.0 ,48.2 ,153.8 ,126.4
- pioggia nulla,,,,,,,,,,,,
» : dati mancanti,,,,,,,,,,,,
