Stazione di Calopinace - Piogge giornaliere - Anno 2016,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GIORNO,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic
1 ,1.2 ,- ,1.0 ,- ,9.2 ,1.8 ,- ,- ,- ,- ,- ,- 
2 ,0.2 ,- ,3.6 ,- ,5.6 ,- ,- ,- ,- ,0.6 ,- ,- 
3 ,48.0 ,- ,16.0 ,- ,28.0 ,- ,- ,- ,8.0 ,- ,- ,- 
4 ,1.6 ,2.8 ,25.0 ,- ,4.2 ,- ,- ,- ,- ,- ,1.0 ,6.8 
5 ,0.8 ,- ,- ,- ,- ,0.2 ,- ,- ,- ,1.8 ,- ,- 
6 ,6.4 ,- ,- ,- ,- ,- ,- ,20.0 ,29.6 ,- ,- ,0.8 
7 ,31.4 ,- ,1.2 ,- ,- ,- ,- ,4.6 ,31.8 ,5.2 ,- ,5.4 
8 ,- ,8.0 ,- ,0.2 ,1.6 ,- ,- ,0.8 ,5.6 ,- ,2.0 ,- 
9 ,- ,- ,1.8 ,10.0 ,- ,- ,- ,24.8 ,28.8 ,1.4 ,11.8 ,- 
10 ,0.2 ,- ,3.2 ,9.4 ,- ,- ,- ,- ,5.2 ,0.4 ,12.0 ,- 
11 ,- ,13.4 ,7.4 ,- ,- ,- ,- ,- ,- ,2.4 ,3.6 ,- 
12 ,0.4 ,1.4 ,21.4 ,- ,13.6 ,0.2 ,- ,- ,- ,0.4 ,9.8 ,34.2 
13 ,2.4 ,2.0 ,57.4 ,- ,- ,1.0 ,- ,- ,- ,- ,0.2 ,- 
14 ,- ,4.2 ,8.2 ,- ,- ,- ,- ,- ,- ,- ,0.2 ,- 
15 ,- ,- ,3.6 ,- ,- ,- ,0.8 ,- ,- ,- ,- ,0.2 
16 ,42.4 ,- ,6.8 ,- ,- ,- ,6.8 ,- ,- ,- ,- ,- 
17 ,9.4 ,- ,13.0 ,- ,- ,- ,0.4 ,- ,- ,- ,0.2 ,- 
18 ,3.4 ,35.4 ,- ,- ,- ,- ,- ,- ,- ,- ,7.6 ,- 
19 ,3.0 ,- ,1.6 ,- ,3.8 ,1.2 ,- ,- ,4.0 ,- ,16.0 ,- 
20 ,2.4 ,1.2 ,- ,- ,21.6 ,- ,- ,- ,5.0 ,- ,0.6 ,11.8 
21 ,- ,- ,- ,- ,9.8 ,- ,- ,- ,18.6 ,8.2 ,- ,0.4 
22 ,1.8 ,- ,- ,- ,- ,0.8 ,- ,- ,6.4 ,- ,- ,- 
23 ,- ,- ,7.8 ,- ,- ,- ,- ,0.4 ,- ,2.8 ,0.6 ,- 
24 ,2.6 ,2.8 ,2.8 ,4.2 ,- ,40.8 ,- ,15.2 ,- ,- ,- ,- 
25 ,0.2 ,- ,3.2 ,2.4 ,- ,- ,- ,0.2 ,- ,- ,45.8 ,0.2 
26 ,- ,7.0 ,2.0 ,- ,- ,- ,34.6 ,- ,- ,- ,- ,- 
27 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,13.0 ,- ,- 
28 ,- ,0.2 ,- ,- ,- ,- ,- ,- ,- ,19.0 ,- ,19.4 
29 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,8.0 ,3.0* 
30 ,- ,,- ,- ,- ,- ,- ,- ,- ,- ,- ,1.2* 
31 ,- ,,- ,,- ,,- ,- ,,- ,,0.4* 
TOT,157.8 ,78.4 ,187.0 ,26.2 ,97.4 ,46.0 ,42.6 ,66.0 ,143.0 ,55.2 ,119.4 ,83.8 
- pioggia nulla,,,,,,,,,,,,
» : dati mancanti,,,,,,,,,,,,
