Stazione di Calopinace - Piogge giornaliere - Anno 2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GIORNO,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic
1 ,- ,- ,- ,7.0 ,- ,14.8 ,- ,- ,0.2 ,- ,- ,2.6 
2 ,- ,- ,- ,0.2 ,- ,- ,- ,- ,2.2 ,- ,- ,4.2 
3 ,- ,- ,6.8 ,1.2 ,0.2 ,- ,- ,- ,22.2 ,- ,- ,65.6 
4 ,- ,0.6 ,14.4 ,1.2 ,2.2 ,- ,6.2 ,0.8 ,- ,- ,- ,8.0 
5 ,3.4 ,14.8 ,8.2 ,0.4 ,- ,11.6 ,7.8 ,1.6 ,- ,- ,- ,9.0 
6 ,- ,2.4 ,5.4 ,4.0 ,- ,9.0 ,36.8 ,8.0 ,- ,0.2 ,0.2 ,49.4 
7 ,- ,- ,4.2 ,- ,- ,- ,- ,58.2 ,- ,- ,- ,1.6 
8 ,- ,- ,26.2 ,- ,- ,- ,- ,49.4 ,- ,2.8 ,- ,0.4 
9 ,- ,- ,22.2 ,- ,- ,- ,- ,27.0 ,- ,- ,- ,2.0 
10 ,- ,- ,- ,- ,- ,0.6 ,- ,- ,- ,- ,- ,0.6 
11 ,- ,- ,0.2 ,- ,- ,- ,- ,- ,- ,- ,- ,2.4 
12 ,- ,- ,- ,- ,- ,- ,- ,- ,45.4 ,16.0 ,- ,1.2 
13 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,13.6 ,- ,10.4 
14 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,4.0 
15 ,- ,- ,- ,- ,- ,1.8 ,2.6 ,- ,4.0 ,- ,- ,- 
16 ,- ,- ,- ,- ,- ,- ,- ,- ,29.6 ,- ,- ,- 
17 ,- ,- ,- ,- ,- ,- ,- ,- ,30.0 ,0.4 ,5.6 ,- 
18 ,1.6 ,- ,- ,- ,- ,- ,2.8 ,- ,- ,5.8 ,0.4 ,- 
19 ,1.2 ,- ,- ,- ,- ,- ,- ,0.2 ,- ,- ,0.8 ,- 
20 ,- ,3.8 ,- ,1.8 ,10.8 ,- ,- ,- ,- ,- ,1.0 ,16.4 
21 ,- ,- ,- ,0.4 ,24.8 ,15.8 ,- ,- ,- ,- ,5.6 ,0.2 
22 ,- ,- ,7.2 ,3.8 ,- ,- ,- ,- ,0.8 ,- ,3.0 ,- 
23 ,- ,- ,25.4 ,- ,- ,- ,- ,- ,- ,- ,1.6 ,- 
24 ,- ,- ,7.0 ,2.2 ,- ,- ,- ,- ,- ,- ,0.2 ,- 
25 ,- ,- ,9.2 ,- ,- ,- ,- ,- ,1.6 ,0.8 ,7.4 ,- 
26 ,- ,- ,31.4 ,- ,- ,- ,- ,- ,7.8 ,- ,- ,7.8 
27 ,8.2 ,5.8 ,1.0 ,- ,1.0 ,- ,- ,- ,22.4 ,26.4 ,- ,5.2 
28 ,- ,0.4 ,- ,- ,0.2 ,- ,- ,- ,- ,30.0 ,17.6 ,- 
29 ,- ,- ,- ,0.2 ,- ,- ,- ,- ,9.4 ,1.0 ,13.6 ,- 
30 ,0.2 ,,23.0 ,- ,- ,- ,- ,- ,- ,- ,4.4 ,1.6 
31 ,- ,,16.6 ,,0.2 ,,- ,0.6 ,,- ,,2.4 
TOT,14.6 ,27.8 ,208.4 ,22.4 ,39.4 ,53.6 ,56.2 ,145.8 ,175.6 ,97.0 ,61.4 ,195.0
- pioggia nulla,,,,,,,,,,,,
» : dati mancanti,,,,,,,,,,,,
