Stazione di Calopinace - Piogge giornaliere - Anno 2021,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GIORNO,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic
1 ,0.2 ,16.6 ,- ,- ,- ,- ,- ,- ,- ,- ,6.4 ,- 
2 ,6.0 ,10.4 ,- ,- ,- ,- ,- ,- ,- ,0.4 ,1.6 ,- 
3 ,- ,2.6 ,- ,- ,2.6 ,- ,- ,- ,0.4 ,4.2 ,- ,3.2 
4 ,1.6 ,- ,- ,- ,- ,- ,- ,- ,10.8 ,- ,- ,3.6 
5 ,- ,- ,- ,- ,9.8 ,- ,- ,- ,0.2 ,8.4 ,- ,- 
6 ,- ,- ,- ,- ,- ,- ,- ,- ,0.8 ,21.4 ,- ,1.0 
7 ,- ,- ,- ,1.4 ,- ,- ,- ,- ,4.0 ,1.6 ,- ,13.2 
8 ,- ,9.6 ,- ,1.4 ,- ,0.2 ,- ,- ,4.6 ,3.0 ,- ,- 
9 ,0.6 ,0.6 ,- ,- ,- ,77.8 ,- ,- ,- ,- ,- ,7.8 
10 ,- ,- ,13.6 ,- ,- ,1.0 ,- ,- ,- ,5.2 ,- ,38.0 
11 ,6.0 ,11.0 ,1.6 ,- ,- ,- ,- ,- ,13.6 ,14.8 ,- ,28.4 
12 ,8.6 ,- ,- ,- ,- ,- ,- ,- ,0.8 ,- ,1.6 ,12.2 
13 ,1.4 ,15.8 ,- ,0.2 ,- ,- ,- ,- ,- ,29.8 ,9.0 ,2.0 
14 ,8.2 ,6.0 ,2.4 ,- ,4.6 ,0.4 ,- ,- ,- ,15.6 ,- ,- 
15 ,17.6 ,0.2 ,4.0 ,1.8 ,2.2 ,0.2 ,- ,- ,- ,0.4 ,- ,- 
16 ,4.6 ,- ,17.4 ,2.2 ,- ,- ,- ,- ,- ,- ,18.0 ,1.4 
17 ,17.2 ,- ,2.0 ,- ,- ,- ,10.8 ,- ,- ,9.2 ,13.2 ,- 
18 ,- ,- ,6.2 ,10.4 ,- ,- ,7.2 ,- ,- ,- ,1.2 ,- 
19 ,- ,- ,1.0 ,6.2 ,- ,- ,2.0 ,- ,- ,- ,1.0 ,4.0 
20 ,- ,- ,7.6 ,2.6 ,0.2 ,- ,- ,- ,- ,- ,- ,5.0 
21 ,- ,- ,28.8 ,- ,- ,- ,- ,- ,- ,- ,- ,0.6 
22 ,- ,- ,30.2 ,8.8 ,- ,- ,- ,- ,- ,- ,- ,5.8 
23 ,4.8 ,- ,10.0 ,11.6 ,- ,- ,- ,- ,2.8 ,0.6 ,- ,- 
24 ,3.8 ,- ,- ,2.8 ,- ,- ,- ,- ,- ,7.4 ,- ,- 
25 ,0.2 ,- ,0.4 ,- ,- ,- ,- ,- ,- ,86.2 ,20.4 ,- 
26 ,19.2 ,- ,- ,- ,- ,- ,- ,6.0 ,- ,18.4 ,1.8 ,0.2 
27 ,- ,- ,- ,- ,0.2 ,- ,- ,0.2 ,- ,0.2 ,4.4 ,3.2 
28 ,2.0 ,0.2 ,- ,- ,- ,- ,- ,- ,4.8 ,- ,- ,32.2 
29 ,- ,,- ,- ,0.2 ,- ,- ,- ,0.2 ,10.2 ,14.6 ,10.0 
30 ,0.2 ,,- ,- ,- ,- ,- ,- ,1.6 ,6.0 ,16.2 ,- 
31 ,10.8 ,,- ,,- ,,- ,- ,,6.2 ,,- 
TOT,113.0 ,73.0 ,125.2 ,49.4 ,19.8 ,79.6 ,20.0 ,6.2 ,44.6 ,249.2 ,109.4 ,171.8
- pioggia nulla,,,,,,,,,,,,
» : dati mancanti,,,,,,,,,,,,
